READING_DATE,Location,POLLEN_NAME,READING_VALUE
3/18/2004 0:00,WESTSIDE,Elm,61
3/18/2004 0:00,WESTSIDE,Juniper/Cedar,596
3/19/2004 0:00,EASTSIDE,Cottonwood,20
3/19/2004 0:00,EASTSIDE,Elm,18
3/19/2004 0:00,EASTSIDE,Juniper/Cedar,136
3/19/2004 0:00,EASTSIDE,Rumex,8
3/19/2004 0:00,WESTSIDE,Cottonwood,4
3/19/2004 0:00,WESTSIDE,Elm,21
3/19/2004 0:00,WESTSIDE,Juniper/Cedar,982
3/19/2004 0:00,WESTSIDE,Rumex,7
3/22/2004 0:00,EASTSIDE,Cottonwood,16
3/22/2004 0:00,EASTSIDE,Elm,36
3/22/2004 0:00,EASTSIDE,Juniper/Cedar,373
3/22/2004 0:00,WESTSIDE,Cottonwood,75
3/22/2004 0:00,WESTSIDE,Elm,14
3/22/2004 0:00,WESTSIDE,Juniper/Cedar,839
3/23/2004 0:00,EASTSIDE,Ash,76
3/23/2004 0:00,EASTSIDE,Cottonwood,34
3/23/2004 0:00,EASTSIDE,Elm,8
3/23/2004 0:00,EASTSIDE,Juniper/Cedar,12
3/23/2004 0:00,EASTSIDE,Mulberry,4
3/23/2004 0:00,EASTSIDE,Rumex,18
3/23/2004 0:00,WESTSIDE,Ash,48
3/23/2004 0:00,WESTSIDE,Cottonwood,41
3/23/2004 0:00,WESTSIDE,Elm,9
3/23/2004 0:00,WESTSIDE,Juniper/Cedar,82
3/23/2004 0:00,WESTSIDE,Mulberry,4
3/23/2004 0:00,WESTSIDE,Rumex,4
3/24/2004 0:00,EASTSIDE,Ash,160
3/24/2004 0:00,EASTSIDE,Birch,14
3/24/2004 0:00,EASTSIDE,Cottonwood,27
3/24/2004 0:00,EASTSIDE,Elm,18
3/24/2004 0:00,EASTSIDE,Juniper/Cedar,100
3/24/2004 0:00,EASTSIDE,Mulberry,73
3/24/2004 0:00,WESTSIDE,Ash,52
3/24/2004 0:00,WESTSIDE,Cottonwood,41
3/24/2004 0:00,WESTSIDE,Elm,2
3/24/2004 0:00,WESTSIDE,Juniper/Cedar,314
3/24/2004 0:00,WESTSIDE,Mulberry,55
3/25/2004 0:00,EASTSIDE,Ash,1892
3/25/2004 0:00,EASTSIDE,Birch,4
3/25/2004 0:00,EASTSIDE,Cottonwood,32
3/25/2004 0:00,EASTSIDE,Elm,28
3/25/2004 0:00,EASTSIDE,Juniper/Cedar,148
3/25/2004 0:00,EASTSIDE,Rumex,18
3/25/2004 0:00,WESTSIDE,Ash,475
3/25/2004 0:00,WESTSIDE,Cottonwood,12
3/25/2004 0:00,WESTSIDE,Elm,4
3/25/2004 0:00,WESTSIDE,Juniper/Cedar,86
3/26/2004 0:00,EASTSIDE,Ash,1918
3/26/2004 0:00,EASTSIDE,Birch,24
3/26/2004 0:00,EASTSIDE,Cottonwood,38
3/26/2004 0:00,EASTSIDE,Elm,28
3/26/2004 0:00,EASTSIDE,Juniper/Cedar,109
3/26/2004 0:00,EASTSIDE,Mulberry,2
3/26/2004 0:00,EASTSIDE,Oak,8
3/26/2004 0:00,EASTSIDE,Rumex,28
3/26/2004 0:00,WESTSIDE,Ash,629
3/26/2004 0:00,WESTSIDE,Birch,4
3/26/2004 0:00,WESTSIDE,Cottonwood,5
3/26/2004 0:00,WESTSIDE,Elm,16
3/26/2004 0:00,WESTSIDE,Juniper/Cedar,139
3/26/2004 0:00,WESTSIDE,Mulberry,4
3/26/2004 0:00,WESTSIDE,Oak,4
3/26/2004 0:00,WESTSIDE,Rumex,2
3/29/2004 0:00,EASTSIDE,Ash,724
3/29/2004 0:00,EASTSIDE,Birch,32
3/29/2004 0:00,EASTSIDE,Cottonwood,11
3/29/2004 0:00,EASTSIDE,Elm,18
3/29/2004 0:00,EASTSIDE,Juniper/Cedar,127
3/29/2004 0:00,EASTSIDE,Mulberry,46
3/29/2004 0:00,EASTSIDE,Rumex,14
3/29/2004 0:00,WESTSIDE,Ash,377
3/29/2004 0:00,WESTSIDE,Birch,5
3/29/2004 0:00,WESTSIDE,Cottonwood,27
3/29/2004 0:00,WESTSIDE,Elm,5
3/29/2004 0:00,WESTSIDE,Juniper/Cedar,127
3/29/2004 0:00,WESTSIDE,Mulberry,2
3/30/2004 0:00,EASTSIDE,Ash,376
3/30/2004 0:00,EASTSIDE,Cottonwood,18
3/30/2004 0:00,EASTSIDE,Elm,22
3/30/2004 0:00,EASTSIDE,Juniper/Cedar,5
3/30/2004 0:00,EASTSIDE,Mulberry,345
3/30/2004 0:00,WESTSIDE,Ash,188
3/30/2004 0:00,WESTSIDE,Cottonwood,7
3/30/2004 0:00,WESTSIDE,Elm,2
3/30/2004 0:00,WESTSIDE,Juniper/Cedar,16
3/30/2004 0:00,WESTSIDE,Mulberry,112
3/31/2004 0:00,EASTSIDE,Ash,246
3/31/2004 0:00,EASTSIDE,Birch,7
3/31/2004 0:00,EASTSIDE,Cottonwood,16
3/31/2004 0:00,EASTSIDE,Juniper/Cedar,20
3/31/2004 0:00,EASTSIDE,Mulberry,1209
3/31/2004 0:00,WESTSIDE,Ash,150
3/31/2004 0:00,WESTSIDE,Birch,5
3/31/2004 0:00,WESTSIDE,Cottonwood,29
3/31/2004 0:00,WESTSIDE,Juniper/Cedar,29
3/31/2004 0:00,WESTSIDE,Mulberry,305
3/31/2004 23:59,EASTSIDE,Ash,246
3/31/2004 23:59,EASTSIDE,Birch,7
4/1/2004 0:00,EASTSIDE,Ash,576
4/1/2004 0:00,EASTSIDE,Birch,4
4/1/2004 0:00,EASTSIDE,Cottonwood,4
4/1/2004 0:00,EASTSIDE,Elm,18
4/1/2004 0:00,EASTSIDE,Juniper/Cedar,18
4/1/2004 0:00,EASTSIDE,Mulberry,2291
4/1/2004 0:00,WESTSIDE,Ash,62
4/1/2004 0:00,WESTSIDE,Cottonwood,27
4/1/2004 0:00,WESTSIDE,Elm,11
4/1/2004 0:00,WESTSIDE,Juniper/Cedar,12
4/1/2004 0:00,WESTSIDE,Mulberry,591
4/2/2004 0:00,EASTSIDE,Ash,262
4/2/2004 0:00,EASTSIDE,Birch,5
4/2/2004 0:00,EASTSIDE,Cottonwood,45
4/2/2004 0:00,EASTSIDE,Juniper/Cedar,43
4/2/2004 0:00,EASTSIDE,Mulberry,3386
4/2/2004 0:00,WESTSIDE,Ash,202
4/2/2004 0:00,WESTSIDE,Birch,2
4/2/2004 0:00,WESTSIDE,Cottonwood,68
4/2/2004 0:00,WESTSIDE,Elm,4
4/2/2004 0:00,WESTSIDE,Juniper/Cedar,46
4/2/2004 0:00,WESTSIDE,Mulberry,1418
4/5/2004 0:00,EASTSIDE,Ash,129
4/5/2004 0:00,EASTSIDE,Elm,2
4/5/2004 1:00,EASTSIDE,Ash,129
4/5/2004 1:00,EASTSIDE,Cottonwood,7
4/5/2004 1:00,EASTSIDE,Elm,2
4/5/2004 1:00,EASTSIDE,Juniper/Cedar,9
4/5/2004 1:00,EASTSIDE,Mulberry,1745
4/5/2004 1:00,WESTSIDE,Ash,132
4/5/2004 1:00,WESTSIDE,Cottonwood,43
4/5/2004 1:00,WESTSIDE,Juniper/Cedar,18
4/5/2004 1:00,WESTSIDE,Mulberry,1104
4/6/2004 0:00,EASTSIDE,Ash,23
4/6/2004 0:00,EASTSIDE,Pine,2
4/6/2004 1:00,EASTSIDE,Ash,23
4/6/2004 1:00,EASTSIDE,Cottonwood,5
4/6/2004 1:00,EASTSIDE,Juniper/Cedar,4
4/6/2004 1:00,EASTSIDE,Mulberry,362
4/6/2004 1:00,EASTSIDE,Pine,2
4/6/2004 1:00,WESTSIDE,Ash,4
4/6/2004 1:00,WESTSIDE,Cottonwood,7
4/6/2004 1:00,WESTSIDE,Mulberry,77
4/7/2004 0:00,EASTSIDE,Ash,91
4/7/2004 0:00,EASTSIDE,Pine,2
4/7/2004 0:00,EASTSIDE,Walnut,2
4/7/2004 1:00,EASTSIDE,Ash,91
4/7/2004 1:00,EASTSIDE,Cottonwood,20
4/7/2004 1:00,EASTSIDE,Juniper/Cedar,5
4/7/2004 1:00,EASTSIDE,Mulberry,1748
4/7/2004 1:00,EASTSIDE,Pine,2
4/7/2004 1:00,EASTSIDE,Walnut,2
4/7/2004 1:00,WESTSIDE,Ash,18
4/7/2004 1:00,WESTSIDE,Cottonwood,25
4/7/2004 1:00,WESTSIDE,Juniper/Cedar,2
4/7/2004 1:00,WESTSIDE,Mulberry,312
4/8/2004 0:00,EASTSIDE,Ash,207
4/8/2004 0:00,EASTSIDE,Pine,4
4/8/2004 0:00,WESTSIDE,Ash,57
4/8/2004 0:00,WESTSIDE,Cottonwood,59
4/8/2004 0:00,WESTSIDE,Juniper/Cedar,4
4/8/2004 0:00,WESTSIDE,Mulberry,1221
4/8/2004 1:00,EASTSIDE,Ash,207
4/8/2004 1:00,EASTSIDE,Cottonwood,38
4/8/2004 1:00,EASTSIDE,Juniper/Cedar,2
4/8/2004 1:00,EASTSIDE,Mulberry,3889
4/8/2004 1:00,EASTSIDE,Pine,4
4/9/2004 0:00,EASTSIDE,Ash,57
4/9/2004 0:00,EASTSIDE,Birch,4
4/9/2004 0:00,EASTSIDE,Pine,2
4/9/2004 1:00,EASTSIDE,Ash,57
4/9/2004 1:00,EASTSIDE,Birch,4
4/9/2004 1:00,EASTSIDE,Cottonwood,20
4/9/2004 1:00,EASTSIDE,Juniper/Cedar,2
4/9/2004 1:00,EASTSIDE,Mulberry,1218
4/9/2004 1:00,EASTSIDE,Pine,2
4/9/2004 1:00,WESTSIDE,Ash,25
4/9/2004 1:00,WESTSIDE,Birch,4
4/9/2004 1:00,WESTSIDE,Cottonwood,14
4/9/2004 1:00,WESTSIDE,Mulberry,752
4/12/2004 0:00,EASTSIDE,Ash,166
4/12/2004 0:00,EASTSIDE,Birch,2
4/12/2004 0:00,EASTSIDE,Pine,14
4/12/2004 1:00,EASTSIDE,Ash,166
4/12/2004 1:00,EASTSIDE,Birch,2
4/12/2004 1:00,EASTSIDE,Cottonwood,64
4/12/2004 1:00,EASTSIDE,Mulberry,2739
4/12/2004 1:00,EASTSIDE,Pine,14
4/12/2004 1:00,WESTSIDE,Ash,34
4/12/2004 1:00,WESTSIDE,Cottonwood,50
4/12/2004 1:00,WESTSIDE,Juniper/Cedar,5
4/12/2004 1:00,WESTSIDE,Mulberry,714
4/12/2004 1:00,WESTSIDE,Pine,2
4/13/2004 0:00,EASTSIDE,Ash,68
4/13/2004 0:00,EASTSIDE,Pine,2
4/13/2004 1:00,EASTSIDE,Ash,68
4/13/2004 1:00,EASTSIDE,Cottonwood,7
4/13/2004 1:00,EASTSIDE,Mulberry,896
4/13/2004 1:00,EASTSIDE,Pine,2
4/13/2004 1:00,WESTSIDE,Ash,14
4/13/2004 1:00,WESTSIDE,Cottonwood,7
4/13/2004 1:00,WESTSIDE,Mulberry,264
4/13/2004 1:00,WESTSIDE,Pine,2
4/14/2004 0:00,EASTSIDE,Ash,77
4/14/2004 0:00,EASTSIDE,Birch,2
4/14/2004 0:00,EASTSIDE,Pine,16
4/14/2004 1:00,EASTSIDE,Ash,77
4/14/2004 1:00,EASTSIDE,Birch,2
4/14/2004 1:00,EASTSIDE,Cottonwood,9
4/14/2004 1:00,EASTSIDE,Juniper/Cedar,4
4/14/2004 1:00,EASTSIDE,Mulberry,1507
4/14/2004 1:00,EASTSIDE,Pine,16
4/14/2004 1:00,WESTSIDE,Ash,41
4/14/2004 1:00,WESTSIDE,Cottonwood,125
4/14/2004 1:00,WESTSIDE,Juniper/Cedar,14
4/14/2004 1:00,WESTSIDE,Mulberry,1448
4/15/2004 0:00,EASTSIDE,Ash,48
4/15/2004 0:00,EASTSIDE,Pine,4
4/15/2004 1:00,EASTSIDE,Ash,48
4/15/2004 1:00,EASTSIDE,Cottonwood,16
4/15/2004 1:00,EASTSIDE,Juniper/Cedar,5
4/15/2004 1:00,EASTSIDE,Mulberry,925
4/15/2004 1:00,EASTSIDE,Pine,4
4/15/2004 1:00,WESTSIDE,Ash,66
4/15/2004 1:00,WESTSIDE,Cottonwood,102
4/15/2004 1:00,WESTSIDE,Grass,2
4/15/2004 1:00,WESTSIDE,Juniper/Cedar,11
4/15/2004 1:00,WESTSIDE,Mulberry,1771
4/15/2004 1:00,WESTSIDE,Pine,7
4/15/2004 1:00,WESTSIDE,Walnut,2
4/16/2004 0:00,EASTSIDE,Ash,123
4/16/2004 0:00,EASTSIDE,Pine,4
4/16/2004 1:00,EASTSIDE,Ash,123
4/16/2004 1:00,EASTSIDE,Cottonwood,14
4/16/2004 1:00,EASTSIDE,Juniper/Cedar,9
4/16/2004 1:00,EASTSIDE,Mulberry,1354
4/16/2004 1:00,EASTSIDE,Pine,4
4/16/2004 1:00,WESTSIDE,Ash,38
4/16/2004 1:00,WESTSIDE,Cottonwood,45
4/16/2004 1:00,WESTSIDE,Juniper/Cedar,4
4/16/2004 1:00,WESTSIDE,Mulberry,925
4/19/2004 0:00,EASTSIDE,Ash,120
4/19/2004 0:00,EASTSIDE,Pine,32
4/19/2004 1:00,EASTSIDE,Ash,120
4/19/2004 1:00,EASTSIDE,Cottonwood,25
4/19/2004 1:00,EASTSIDE,Juniper/Cedar,5
4/19/2004 1:00,EASTSIDE,Mulberry,1343
4/19/2004 1:00,EASTSIDE,Pine,32
4/19/2004 1:00,WESTSIDE,Ash,89
4/19/2004 1:00,WESTSIDE,Cottonwood,204
4/19/2004 1:00,WESTSIDE,Elm,2
4/19/2004 1:00,WESTSIDE,Juniper/Cedar,29
4/19/2004 1:00,WESTSIDE,Mulberry,870
4/19/2004 1:00,WESTSIDE,Pine,12
4/20/2004 0:00,EASTSIDE,Ash,70
4/20/2004 0:00,EASTSIDE,Pine,12
4/20/2004 1:00,EASTSIDE,Ash,70
4/20/2004 1:00,EASTSIDE,Cottonwood,14
4/20/2004 1:00,EASTSIDE,Juniper/Cedar,2
4/20/2004 1:00,EASTSIDE,Mulberry,386
4/20/2004 1:00,EASTSIDE,Pine,12
4/20/2004 1:00,WESTSIDE,Ash,21
4/20/2004 1:00,WESTSIDE,Cottonwood,16
4/20/2004 1:00,WESTSIDE,Juniper/Cedar,5
4/20/2004 1:00,WESTSIDE,Mulberry,120
4/20/2004 1:00,WESTSIDE,Pine,5
4/21/2004 0:00,EASTSIDE,Ash,30
4/21/2004 0:00,EASTSIDE,Elm,2
4/21/2004 0:00,EASTSIDE,Pine,5
4/21/2004 1:00,EASTSIDE,Ash,30
4/21/2004 1:00,EASTSIDE,Cottonwood,11
4/21/2004 1:00,EASTSIDE,Elm,2
4/21/2004 1:00,EASTSIDE,Juniper/Cedar,4
4/21/2004 1:00,EASTSIDE,Mulberry,182
4/21/2004 1:00,EASTSIDE,Pine,5
4/21/2004 1:00,WESTSIDE,Ash,16
4/21/2004 1:00,WESTSIDE,Birch,2
4/21/2004 1:00,WESTSIDE,Chenopodiaceae,4
4/21/2004 1:00,WESTSIDE,Elm,2
4/21/2004 1:00,WESTSIDE,Juniper/Cedar,2
4/21/2004 1:00,WESTSIDE,Mulberry,82
4/21/2004 1:00,WESTSIDE,Pine,4
4/22/2004 0:00,EASTSIDE,Ash,59
4/22/2004 0:00,EASTSIDE,Birch,4
4/22/2004 0:00,EASTSIDE,Pine,4
4/22/2004 1:00,EASTSIDE,Ash,59
4/22/2004 1:00,EASTSIDE,Birch,4
4/22/2004 1:00,EASTSIDE,Cottonwood,4
4/22/2004 1:00,EASTSIDE,Grass,2
4/22/2004 1:00,EASTSIDE,Juniper/Cedar,4
4/22/2004 1:00,EASTSIDE,Mulberry,139
4/22/2004 1:00,EASTSIDE,Pine,4
4/22/2004 1:00,WESTSIDE,Ash,11
4/22/2004 1:00,WESTSIDE,Birch,4
4/22/2004 1:00,WESTSIDE,Juniper/Cedar,12
4/22/2004 1:00,WESTSIDE,Mulberry,93
4/22/2004 1:00,WESTSIDE,Pine,2
4/23/2004 0:00,EASTSIDE,Ash,27
4/23/2004 0:00,EASTSIDE,Birch,5
4/23/2004 0:00,EASTSIDE,Elm,4
4/23/2004 0:00,EASTSIDE,Pine,4
4/23/2004 1:00,EASTSIDE,Ash,27
4/23/2004 1:00,EASTSIDE,Birch,5
4/23/2004 1:00,EASTSIDE,Chenopodiaceae,2
4/23/2004 1:00,EASTSIDE,Cottonwood,7
4/23/2004 1:00,EASTSIDE,Elm,4
4/23/2004 1:00,EASTSIDE,Juniper/Cedar,16
4/23/2004 1:00,EASTSIDE,Mulberry,170
4/23/2004 1:00,EASTSIDE,Pine,4
4/23/2004 1:00,WESTSIDE,Ash,4
4/23/2004 1:00,WESTSIDE,Birch,4
4/23/2004 1:00,WESTSIDE,Cottonwood,4
4/23/2004 1:00,WESTSIDE,Elm,5
4/23/2004 1:00,WESTSIDE,Juniper/Cedar,11
4/23/2004 1:00,WESTSIDE,Mulberry,68
4/26/2004 0:00,EASTSIDE,Ash,36
4/26/2004 0:00,EASTSIDE,Birch,7
4/26/2004 0:00,EASTSIDE,Elm,4
4/26/2004 0:00,EASTSIDE,Pine,4
4/26/2004 1:00,EASTSIDE,Ash,36
4/26/2004 1:00,EASTSIDE,Birch,7
4/26/2004 1:00,EASTSIDE,Chenopodiaceae,4
4/26/2004 1:00,EASTSIDE,Cottonwood,5
4/26/2004 1:00,EASTSIDE,Elm,4
4/26/2004 1:00,EASTSIDE,Juniper/Cedar,7
4/26/2004 1:00,EASTSIDE,Mulberry,252
4/26/2004 1:00,EASTSIDE,Pine,4
4/26/2004 1:00,WESTSIDE,Ash,7
4/26/2004 1:00,WESTSIDE,Birch,9
4/26/2004 1:00,WESTSIDE,Chenopodiaceae,2
4/26/2004 1:00,WESTSIDE,Cottonwood,14
4/26/2004 1:00,WESTSIDE,Elm,4
4/26/2004 1:00,WESTSIDE,Juniper/Cedar,14
4/26/2004 1:00,WESTSIDE,Mulberry,59
4/27/2004 0:00,EASTSIDE,Ash,32
4/27/2004 0:00,EASTSIDE,Elm,2
4/27/2004 0:00,EASTSIDE,Pine,4
4/27/2004 0:00,EASTSIDE,Walnut,2
4/27/2004 1:00,EASTSIDE,Ash,32
4/27/2004 1:00,EASTSIDE,Cottonwood,11
4/27/2004 1:00,EASTSIDE,Elm,2
4/27/2004 1:00,EASTSIDE,Juniper/Cedar,7
4/27/2004 1:00,EASTSIDE,Mulberry,409
4/27/2004 1:00,EASTSIDE,Pine,4
4/27/2004 1:00,EASTSIDE,Walnut,2
4/27/2004 1:00,WESTSIDE,Ash,14
4/27/2004 1:00,WESTSIDE,Birch,4
4/27/2004 1:00,WESTSIDE,Cottonwood,2
4/27/2004 1:00,WESTSIDE,Elm,4
4/27/2004 1:00,WESTSIDE,Juniper/Cedar,4
4/27/2004 1:00,WESTSIDE,Mulberry,54
4/28/2004 0:00,EASTSIDE,Ash,23
4/28/2004 0:00,EASTSIDE,Birch,4
4/28/2004 0:00,EASTSIDE,Pine,11
4/28/2004 0:00,EASTSIDE,Walnut,2
4/28/2004 1:00,EASTSIDE,Ash,23
4/28/2004 1:00,EASTSIDE,Birch,4
4/28/2004 1:00,EASTSIDE,Chenopodiaceae,2
4/28/2004 1:00,EASTSIDE,Juniper/Cedar,7
4/28/2004 1:00,EASTSIDE,Mulberry,354
4/28/2004 1:00,EASTSIDE,Pine,11
4/28/2004 1:00,EASTSIDE,Walnut,2
4/28/2004 1:00,WESTSIDE,Ash,9
4/28/2004 1:00,WESTSIDE,Cottonwood,4
4/28/2004 1:00,WESTSIDE,Mulberry,186
4/29/2004 0:00,EASTSIDE,Ash,23
4/29/2004 0:00,EASTSIDE,Pine,4
4/29/2004 1:00,EASTSIDE,Ash,23
4/29/2004 1:00,EASTSIDE,Chenopodiaceae,2
4/29/2004 1:00,EASTSIDE,Cottonwood,5
4/29/2004 1:00,EASTSIDE,Grass,2
4/29/2004 1:00,EASTSIDE,Juniper/Cedar,9
4/29/2004 1:00,EASTSIDE,Mulberry,277
4/29/2004 1:00,EASTSIDE,Pine,4
4/29/2004 1:00,WESTSIDE,Ash,16
4/29/2004 1:00,WESTSIDE,Cottonwood,2
4/29/2004 1:00,WESTSIDE,Juniper/Cedar,9
4/29/2004 1:00,WESTSIDE,Mulberry,150
4/29/2004 1:00,WESTSIDE,Pine,2
4/30/2004 1:00,EASTSIDE,Ash,23
4/30/2004 1:00,EASTSIDE,Birch,5
4/30/2004 1:00,EASTSIDE,Cottonwood,2
4/30/2004 1:00,EASTSIDE,Elm,7
4/30/2004 1:00,EASTSIDE,Grass,2
4/30/2004 1:00,EASTSIDE,Juniper/Cedar,11
4/30/2004 1:00,EASTSIDE,Mulberry,261
4/30/2004 1:00,EASTSIDE,Pine,5
4/30/2004 1:00,WESTSIDE,Ash,18
4/30/2004 1:00,WESTSIDE,Aster,2
4/30/2004 1:00,WESTSIDE,Birch,2
4/30/2004 1:00,WESTSIDE,Cottonwood,4
4/30/2004 1:00,WESTSIDE,Elm,5
4/30/2004 1:00,WESTSIDE,Juniper/Cedar,12
4/30/2004 1:00,WESTSIDE,Mulberry,211
4/30/2004 23:59,EASTSIDE,Ash,23
4/30/2004 23:59,EASTSIDE,Birch,5
4/30/2004 23:59,EASTSIDE,Elm,7
4/30/2004 23:59,EASTSIDE,Pine,5
5/3/2004 0:00,EASTSIDE,Ash,11
5/3/2004 0:00,EASTSIDE,Elm,2
5/3/2004 0:00,EASTSIDE,Pine,4
5/3/2004 1:00,EASTSIDE,Ash,11
5/3/2004 1:00,EASTSIDE,Cottonwood,2
5/3/2004 1:00,EASTSIDE,Elm,2
5/3/2004 1:00,EASTSIDE,Juniper/Cedar,2
5/3/2004 1:00,EASTSIDE,Mulberry,116
5/3/2004 1:00,EASTSIDE,Pine,4
5/3/2004 1:00,WESTSIDE,Ash,4
5/3/2004 1:00,WESTSIDE,Cottonwood,2
5/3/2004 1:00,WESTSIDE,Elm,4
5/3/2004 1:00,WESTSIDE,Grass,2
5/3/2004 1:00,WESTSIDE,Juniper/Cedar,9
5/3/2004 1:00,WESTSIDE,Mulberry,34
5/3/2004 1:00,WESTSIDE,Oak,2
5/4/2004 0:00,EASTSIDE,Ash,5
5/4/2004 0:00,EASTSIDE,Aster,2
5/4/2004 0:00,EASTSIDE,Pine,5
5/4/2004 1:00,EASTSIDE,Ash,5
5/4/2004 1:00,EASTSIDE,Aster,2
5/4/2004 1:00,EASTSIDE,Chenopodiaceae,2
5/4/2004 1:00,EASTSIDE,Grass,2
5/4/2004 1:00,EASTSIDE,Juniper/Cedar,7
5/4/2004 1:00,EASTSIDE,Mulberry,1405
5/4/2004 1:00,EASTSIDE,Pine,5
5/4/2004 1:00,WESTSIDE,Ash,5
5/4/2004 1:00,WESTSIDE,Birch,2
5/4/2004 1:00,WESTSIDE,Chenopodiaceae,2
5/4/2004 1:00,WESTSIDE,Juniper/Cedar,7
5/4/2004 1:00,WESTSIDE,Mulberry,579
5/4/2004 1:00,WESTSIDE,Pine,2
5/5/2004 0:00,EASTSIDE,Elm,2
5/5/2004 0:00,EASTSIDE,Pine,2
5/5/2004 0:00,EASTSIDE,Sagebrush,2
5/5/2004 1:00,EASTSIDE,Chenopodiaceae,2
5/5/2004 1:00,EASTSIDE,Elm,2
5/5/2004 1:00,EASTSIDE,Juniper/Cedar,11
5/5/2004 1:00,EASTSIDE,Mulberry,1059
5/5/2004 1:00,EASTSIDE,Pine,2
5/5/2004 1:00,EASTSIDE,Sagebrush,2
5/5/2004 1:00,WESTSIDE,Ash,14
5/5/2004 1:00,WESTSIDE,Chenopodiaceae,7
5/5/2004 1:00,WESTSIDE,Elm,2
5/5/2004 1:00,WESTSIDE,Grass,4
5/5/2004 1:00,WESTSIDE,Juniper/Cedar,5
5/5/2004 1:00,WESTSIDE,Mulberry,309
5/6/2004 0:00,EASTSIDE,Ash,9
5/6/2004 0:00,EASTSIDE,Pine,9
5/6/2004 1:00,EASTSIDE,Ash,9
5/6/2004 1:00,EASTSIDE,Chenopodiaceae,2
5/6/2004 1:00,EASTSIDE,Cottonwood,2
5/6/2004 1:00,EASTSIDE,Juniper/Cedar,11
5/6/2004 1:00,EASTSIDE,Mulberry,721
5/6/2004 1:00,EASTSIDE,Pine,9
5/6/2004 1:00,WESTSIDE,Ash,23
5/6/2004 1:00,WESTSIDE,Chenopodiaceae,12
5/6/2004 1:00,WESTSIDE,Cottonwood,2
5/6/2004 1:00,WESTSIDE,Grass,5
